Accident_ID,Date,Time,State,City,Latitude,Longitude,Road_Type,Weather_Condition,Lighting_Condition,Primary_Cause,Vehicle_Type,Severity,Fatalities,Injuries
ACC0029,2024-01-15,18:54,Jharkhand,Ranchi,25.6985,91.8982,State Highway,Clear,Twilight,Overspeeding,Car / Sedan,Moderate,0,4
ACC0030,2024-01-16,14:11,Uttarakhand,Dehradun,9.7564,86.2338,City Road,Clear,Daylight,Overspeeding,Two-Wheeler,Moderate,0,1
ACC0031,2024-01-16,14:11,Odisha,Bhubaneswar,26.1403,77.4282,Expressway,Cloudy,Daylight,Drunk Driving,SUV,Severe / Fatal,2,1
ACC0032,2024-01-16,22:15,Chhattisgarh,Raipur,13.3793,86.481,State Highway,Clear,Darkness,Overspeeding,Car / Sedan,Minor,0,1
ACC0033,2024-01-17,16:37,Assam,Guwahati,10.2995,83.7207,National Highway,Clear,Daylight,Mechanical Failure,Two-Wheeler,Moderate,1,3
ACC0034,2024-01-18,11:20,Haryana,Gurugram,36.1075,80.8434,National Highway,Foggy,Daylight,Drunk Driving,Two-Wheeler,Severe / Fatal,2,1
ACC0035,2024-01-20,15:51,Chhattisgarh,Raipur,36.5965,72.4252,Rural Road,Foggy,Daylight,Weather Conditions,Car / Sedan,Moderate,0,4
ACC0036,2024-01-20,09:47,Chhattisgarh,Raipur,32.0052,93.9682,State Highway,Clear,Daylight,Drunk Driving,Two-Wheeler,Minor,0,2
ACC0037,2024-01-20,07:44,Sikkim,Gangtok,17.2947,81.5189,Expressway,Clear,Daylight,Weather Conditions,Truck / Commercial,Minor,0,2
ACC0038,2024-01-21,14:22,Assam,Guwahati,11.252,74.2467,National Highway,Clear,Daylight,Overspeeding,Car / Sedan,Severe / Fatal,2,2
ACC0039,2024-01-21,19:58,Uttarakhand,Dehradun,28.3796,79.1811,City Road,Clear,Twilight,Weather Conditions,Two-Wheeler,Minor,0,2
ACC0040,2024-01-22,19:37,Nagaland,Kohima,21.2525,80.5027,Rural Road,Cloudy,Twilight,Overspeeding,Car / Sedan,Moderate,0,2
ACC0041,2024-01-22,09:01,Madhya Pradesh,Bhopal,11.9635,92.2848,Expressway,Foggy,Daylight,Drunk Driving,Two-Wheeler,Severe / Fatal,3,4
ACC0042,2024-01-22,12:45,Meghalaya,Shillong,22.8592,89.608,National Highway,Clear,Daylight,Overspeeding,Two-Wheeler,Moderate,0,3
ACC0043,2024-01-23,07:44,Mizoram,Aizawl,9.4041,90.6252,Expressway,Clear,Daylight,Drunk Driving,Two-Wheeler,Severe / Fatal,1,4
ACC0044,2024-01-25,23:22,Punjab,Ludhiana,34.9522,69.0144,City Road,Clear,Darkness,Overspeeding,Truck / Commercial,Moderate,0,3
ACC0045,2024-01-26,21:36,Tripura,Agartala,15.9564,80.5604,State Highway,Foggy,Darkness,Overspeeding,Bus,Moderate,0,1
ACC0046,2024-01-26,15:36,Odisha,Bhubaneswar,27.7457,82.4183,City Road,Clear,Daylight,Fatigue,Truck / Commercial,Moderate,0,1
ACC0047,2024-01-26,17:09,West Bengal,Kolkata,17.502,69.247,Expressway,Clear,Daylight,Overspeeding,Two-Wheeler,Severe / Fatal,3,4
ACC0048,2024-01-26,16:36,Jharkhand,Ranchi,23.586,76.1047,City Road,Clear,Daylight,Weather Conditions,Two-Wheeler,Minor,0,2
ACC0049,2024-01-27,14:12,West Bengal,Kolkata,24.3639,90.3683,Expressway,Clear,Daylight,Fatigue,Car / Sedan,Moderate,0,1
ACC0050,2024-01-27,02:53,Himachal Pradesh,Shimla,13.7978,72.6076,National Highway,Clear,Darkness,Overspeeding,SUV,Moderate,0,4
ACC0051,2024-01-27,11:51,Madhya Pradesh,Bhopal,36.7119,83.9563,State Highway,Clear,Daylight,Distracted Driving,Auto Rickshaw,Moderate,0,3
ACC0052,2024-01-27,15:56,Maharashtra,Mumbai,31.0339,74.8333,National Highway,Cloudy,Daylight,Overspeeding,Two-Wheeler,Minor,0,2
ACC0053,2024-01-28,15:31,Nagaland,Kohima,35.8334,69.0454,Rural Road,Foggy,Daylight,Overspeeding,Two-Wheeler,Moderate,0,3
ACC0054,2024-01-28,09:34,Tamil Nadu,Chennai,34.529,75.5742,City Road,Rainy,Daylight,Overspeeding,SUV,Moderate,0,4
ACC0055,2024-01-28,19:19,Mizoram,Aizawl,25.8587,96.5124,City Road,Clear,Twilight,Fatigue,Truck / Commercial,Minor,0,1
ACC0056,2024-01-29,06:11,Jharkhand,Ranchi,35.3187,91.5438,State Highway,Clear,Daylight,Overspeeding,Truck / Commercial,Moderate,1,3
ACC0057,2024-01-30,12:31,Assam,Guwahati,10.984,96.0479,National Highway,Clear,Daylight,Drunk Driving,SUV,Minor,0,1
ACC0058,2024-01-30,15:02,Madhya Pradesh,Bhopal,14.1227,82.6038,City Road,Clear,Daylight,Drunk Driving,Auto Rickshaw,Moderate,0,2
ACC0059,2024-01-30,15:05,Arunachal Pradesh,Itanagar,9.7206,71.8275,State Highway,Foggy,Daylight,Mechanical Failure,Car / Sedan,Moderate,0,4
ACC0060,2024-01-30,15:03,Karnataka,Bengaluru,17.8996,84.3168,National Highway,Clear,Daylight,Overspeeding,Bus,Severe / Fatal,1,1
ACC0061,2024-01-30,08:14,Himachal Pradesh,Shimla,19.7494,81.6498,Expressway,Clear,Daylight,Distracted Driving,Auto Rickshaw,Minor,0,1
ACC0062,2024-01-31,06:38,Odisha,Bhubaneswar,16.3234,92.7642,National Highway,Foggy,Daylight,Distracted Driving,Truck / Commercial,Severe / Fatal,3,5
ACC0063,2024-02-01,14:14,West Bengal,Kolkata,32.5991,71.4954,State Highway,Cloudy,Daylight,Distracted Driving,Two-Wheeler,Moderate,1,3
ACC0064,2024-02-01,14:01,Assam,Guwahati,18.8172,82.6149,State Highway,Clear,Daylight,Fatigue,Two-Wheeler,Moderate,0,2
ACC0065,2024-02-01,06:33,Mizoram,Aizawl,16.6033,72.9764,National Highway,Clear,Daylight,Weather Conditions,Car / Sedan,Moderate,1,2
ACC0066,2024-02-02,15:30,Karnataka,Bengaluru,24.2467,77.9533,Rural Road,Clear,Daylight,Overspeeding,Car / Sedan,Moderate,0,3
ACC0067,2024-02-02,11:00,Mizoram,Aizawl,12.515,89.7147,National Highway,Clear,Daylight,Drunk Driving,Truck / Commercial,Severe / Fatal,2,1
ACC0068,2024-02-02,15:21,Uttarakhand,Dehradun,31.8242,82.2665,National Highway,Clear,Daylight,Overspeeding,Two-Wheeler,Severe / Fatal,1,5
ACC0069,2024-02-03,17:58,Rajasthan,Jaipur,10.5769,79.4128,National Highway,Clear,Daylight,Overspeeding,Two-Wheeler,Moderate,0,3
ACC0070,2024-02-03,06:39,Arunachal Pradesh,Itanagar,37.2171,79.9426,City Road,Cloudy,Daylight,Drunk Driving,Truck / Commercial,Minor,0,2
ACC0071,2024-02-04,00:12,Uttar Pradesh,Lucknow,30.9495,81.7942,State Highway,Clear,Darkness,Overspeeding,Two-Wheeler,Moderate,1,4
ACC0072,2024-02-06,16:51,Mizoram,Aizawl,14.2025,91.073,Expressway,Clear,Daylight,Overspeeding,Two-Wheeler,Moderate,0,1
ACC0073,2024-02-06,14:08,Goa,Panaji,8.5612,94.1244,National Highway,Clear,Daylight,Fatigue,Car / Sedan,Moderate,0,1
ACC0074,2024-02-07,15:21,Mizoram,Aizawl,32.2115,95.927,National Highway,Clear,Daylight,Overspeeding,SUV,Moderate,0,3
ACC0075,2024-02-07,17:45,Manipur,Imphal,29.0402,91.1267,State Highway,Foggy,Daylight,Mechanical Failure,Two-Wheeler,Severe / Fatal,3,4
ACC0076,2024-02-08,17:11,Uttarakhand,Dehradun,29.687,77.6891,City Road,Clear,Daylight,Drunk Driving,Truck / Commercial,Minor,0,1
ACC0077,2024-02-09,20:58,Madhya Pradesh,Bhopal,30.9211,88.3118,City Road,Clear,Darkness,Distracted Driving,Car / Sedan,Moderate,1,4
ACC0078,2024-02-09,13:51,Tamil Nadu,Chennai,10.5621,81.1717,National Highway,Clear,Daylight,Weather Conditions,Bus,Minor,0,2
ACC0079,2024-02-10,12:54,Telangana,Hyderabad,18.8672,75.9581,State Highway,Rainy,Daylight,Overspeeding,Car / Sedan,Moderate,0,3
ACC0080,2024-02-10,10:55,West Bengal,Kolkata,11.7834,92.6648,Rural Road,Clear,Daylight,Overspeeding,Two-Wheeler,Minor,0,2
ACC0081,2024-02-10,06:20,Assam,Guwahati,33.6026,69.7952,State Highway,Rainy,Daylight,Overspeeding,Two-Wheeler,Moderate,0,4
ACC0082,2024-02-10,13:03,Odisha,Bhubaneswar,26.6003,94.4002,City Road,Clear,Daylight,Overspeeding,Two-Wheeler,Moderate,0,3
ACC0083,2024-02-11,08:01,Arunachal Pradesh,Itanagar,18.0622,81.8521,National Highway,Clear,Daylight,Mechanical Failure,Car / Sedan,Severe / Fatal,2,3
ACC0084,2024-02-11,19:09,Punjab,Ludhiana,10.2559,86.8602,Rural Road,Clear,Twilight,Weather Conditions,Two-Wheeler,Minor,0,1
ACC0085,2024-02-12,14:37,West Bengal,Kolkata,17.4807,87.4916,City Road,Cloudy,Daylight,Overspeeding,Car / Sedan,Minor,0,1
ACC0086,2024-02-12,14:45,Manipur,Imphal,17.8954,94.2109,Rural Road,Cloudy,Daylight,Overspeeding,Car / Sedan,Minor,0,2
ACC0087,2024-02-13,09:58,Nagaland,Kohima,29.7045,86.8451,City Road,Clear,Daylight,Overspeeding,Two-Wheeler,Moderate,0,2
ACC0088,2024-02-14,02:09,Karnataka,Bengaluru,27.0167,86.1971,State Highway,Clear,Darkness,Overspeeding,Two-Wheeler,Moderate,0,3
ACC0089,2024-02-14,01:49,Uttar Pradesh,Lucknow,34.3066,70.5996,Rural Road,Clear,Darkness,Distracted Driving,Truck / Commercial,Moderate,0,2
ACC0090,2024-02-14,10:07,Karnataka,Bengaluru,22.1887,83.4746,National Highway,Clear,Daylight,Overspeeding,Bus,Moderate,0,2
ACC0091,2024-02-15,04:54,Sikkim,Gangtok,11.8922,72.9798,State Highway,Clear,Darkness,Drunk Driving,Two-Wheeler,Moderate,0,1
ACC0092,2024-02-15,14:33,Punjab,Ludhiana,29.2267,89.7169,City Road,Foggy,Daylight,Overspeeding,Two-Wheeler,Minor,0,1
ACC0093,2024-02-16,18:55,Arunachal Pradesh,Itanagar,30.6149,83.2983,City Road,Cloudy,Twilight,Overspeeding,Auto Rickshaw,Minor,0,2
ACC0094,2024-02-16,18:23,Nagaland,Kohima,24.7893,88.0865,Rural Road,Clear,Twilight,Distracted Driving,Two-Wheeler,Moderate,0,1
ACC0095,2024-02-16,15:04,Jharkhand,Ranchi,30.9122,69.8877,National Highway,Clear,Daylight,Drunk Driving,Auto Rickshaw,Moderate,1,4
ACC0096,2024-02-16,07:23,Jharkhand,Ranchi,22.8188,71.1166,City Road,Foggy,Daylight,Fatigue,Two-Wheeler,Moderate,1,2
ACC0097,2024-02-17,18:45,Meghalaya,Shillong,23.6638,89.1152,City Road,Rainy,Twilight,Mechanical Failure,Truck / Commercial,Moderate,0,4
ACC0098,2024-02-17,18:42,Karnataka,Bengaluru,20.8842,70.7544,National Highway,Clear,Twilight,Overspeeding,Two-Wheeler,Moderate,0,2
ACC0099,2024-02-18,07:25,Haryana,Gurugram,9.1422,70.7308,State Highway,Clear,Daylight,Overspeeding,Bus,Moderate,0,2
ACC0100,2024-02-20,16:37,Telangana,Hyderabad,11.5504,69.0451,National Highway,Clear,Daylight,Weather Conditions,Two-Wheeler,Moderate,0,2
ACC0101,2024-02-20,08:06,West Bengal,Kolkata,9.3177,95.9603,State Highway,Clear,Daylight,Mechanical Failure,SUV,Minor,0,1
ACC0102,2024-02-21,17:21,Mizoram,Aizawl,26.9832,89.719,Rural Road,Clear,Daylight,Weather Conditions,Two-Wheeler,Moderate,0,1
ACC0103,2024-02-21,23:19,Chhattisgarh,Raipur,17.5792,78.7677,Expressway,Clear,Darkness,Overspeeding,Two-Wheeler,Severe / Fatal,1,2
ACC0104,2024-02-21,01:20,Assam,Guwahati,23.2503,77.1513,City Road,Clear,Darkness,Fatigue,Truck / Commercial,Minor,0,1
ACC0105,2024-02-21,18:08,Odisha,Bhubaneswar,34.9009,78.6665,Rural Road,Clear,Twilight,Overspeeding,Car / Sedan,Minor,0,2
ACC0106,2024-02-21,14:10,Uttar Pradesh,Lucknow,15.6793,90.7776,State Highway,Clear,Daylight,Distracted Driving,Bus,Minor,0,1
ACC0107,2024-02-22,20:46,Himachal Pradesh,Shimla,20.3832,87.5491,City Road,Clear,Darkness,Mechanical Failure,Car / Sedan,Moderate,0,1
ACC0108,2024-02-22,11:27,Odisha,Bhubaneswar,30.4621,73.9781,State Highway,Rainy,Daylight,Overspeeding,Truck / Commercial,Moderate,0,4
ACC0109,2024-02-22,17:50,Odisha,Bhubaneswar,15.0809,73.6621,City Road,Foggy,Daylight,Mechanical Failure,Car / Sedan,Moderate,1,4
ACC0110,2024-02-22,03:40,Bihar,Patna,10.6478,71.5043,National Highway,Clear,Darkness,Overspeeding,Auto Rickshaw,Severe / Fatal,1,1
ACC0111,2024-02-23,08:31,Punjab,Ludhiana,16.8607,87.5186,Rural Road,Clear,Daylight,Fatigue,Auto Rickshaw,Minor,0,2
ACC0112,2024-02-23,03:41,Assam,Guwahati,13.1077,90.4846,National Highway,Cloudy,Darkness,Overspeeding,Two-Wheeler,Severe / Fatal,3,1
ACC0113,2024-02-23,20:20,Meghalaya,Shillong,35.5472,76.2538,State Highway,Clear,Darkness,Fatigue,Bus,Severe / Fatal,3,1
ACC0114,2024-02-24,17:11,Odisha,Bhubaneswar,31.9971,69.2969,City Road,Clear,Daylight,Overspeeding,Truck / Commercial,Minor,0,2
ACC0115,2024-02-25,17:45,Jharkhand,Ranchi,26.8954,71.0419,State Highway,Clear,Daylight,Distracted Driving,Two-Wheeler,Minor,0,1
ACC0116,2024-02-25,19:35,Bihar,Patna,33.8466,96.284,Expressway,Clear,Twilight,Drunk Driving,SUV,Severe / Fatal,3,5
ACC0117,2024-02-25,04:44,Punjab,Ludhiana,31.8672,77.1202,State Highway,Clear,Darkness,Drunk Driving,Two-Wheeler,Severe / Fatal,2,3
ACC0118,2024-02-26,09:56,Uttarakhand,Dehradun,13.8478,90.6229,City Road,Foggy,Daylight,Overspeeding,Truck / Commercial,Minor,0,1
ACC0119,2024-02-27,04:59,West Bengal,Kolkata,34.4627,86.5029,National Highway,Clear,Darkness,Distracted Driving,Two-Wheeler,Moderate,0,4
ACC0120,2024-02-27,07:39,Uttar Pradesh,Lucknow,24.1488,79.5853,National Highway,Clear,Daylight,Overspeeding,Two-Wheeler,Minor,0,2
ACC0121,2024-02-28,07:50,Assam,Guwahati,31.9773,74.5621,National Highway,Cloudy,Daylight,Drunk Driving,Car / Sedan,Severe / Fatal,1,0
ACC0122,2024-02-28,11:22,Odisha,Bhubaneswar,34.5659,72.1595,State Highway,Clear,Daylight,Overspeeding,Car / Sedan,Minor,0,1
ACC0123,2024-02-29,08:14,Manipur,Imphal,17.6857,86.2279,National Highway,Clear,Daylight,Fatigue,Truck / Commercial,Moderate,0,4
ACC0124,2024-02-29,05:42,Andhra Pradesh,Visakhapatnam,11.6135,90.7771,State Highway,Clear,Twilight,Overspeeding,Auto Rickshaw,Moderate,0,1
ACC0125,2024-03-01,06:37,Himachal Pradesh,Shimla,15.0557,87.0513,State Highway,Clear,Daylight,Overspeeding,Car / Sedan,Minor,0,1
ACC0126,2024-03-01,06:52,Uttarakhand,Dehradun,20.8715,83.8136,National Highway,Clear,Daylight,Overspeeding,Two-Wheeler,Moderate,1,1
ACC0127,2024-03-02,20:11,Jharkhand,Ranchi,32.286,69.8956,Expressway,Clear,Darkness,Overspeeding,SUV,Moderate,0,1
ACC0128,2024-03-02,16:24,Sikkim,Gangtok,33.5333,96.3019,City Road,Clear,Daylight,Overspeeding,Car / Sedan,Moderate,1,2
ACC0129,2024-03-02,20:19,Goa,Panaji,8.603,91.4634,National Highway,Clear,Darkness,Drunk Driving,Car / Sedan,Moderate,0,4
ACC0130,2024-03-03,11:46,West Bengal,Kolkata,23.3138,77.0454,Expressway,Clear,Daylight,Mechanical Failure,Two-Wheeler,Moderate,1,3
ACC0131,2024-03-03,08:44,Chhattisgarh,Raipur,20.5884,96.6292,City Road,Clear,Daylight,Distracted Driving,Car / Sedan,Moderate,0,4
ACC0132,2024-03-03,17:18,Himachal Pradesh,Shimla,14.8855,85.8536,State Highway,Clear,Daylight,Drunk Driving,Two-Wheeler,Minor,0,1
ACC0133,2024-03-03,08:08,Tamil Nadu,Chennai,11.9001,85.299,City Road,Clear,Daylight,Overspeeding,Truck / Commercial,Minor,0,2
ACC0134,2024-03-04,08:11,Manipur,Imphal,18.2584,90.0201,State Highway,Clear,Daylight,Distracted Driving,Car / Sedan,Minor,0,2
ACC0135,2024-03-05,07:46,Meghalaya,Shillong,35.933,91.8354,State Highway,Cloudy,Daylight,Overspeeding,Truck / Commercial,Minor,0,2
ACC0136,2024-03-06,05:00,Rajasthan,Jaipur,17.8375,87.4096,National Highway,Clear,Twilight,Weather Conditions,Car / Sedan,Severe / Fatal,3,5
ACC0137,2024-03-06,07:44,Manipur,Imphal,23.5487,72.3507,City Road,Clear,Daylight,Overspeeding,Two-Wheeler,Moderate,0,4
ACC0138,2024-03-06,09:36,Odisha,Bhubaneswar,28.9282,78.3406,City Road,Rainy,Daylight,Overspeeding,Truck / Commercial,Moderate,0,3
ACC0139,2024-03-06,15:25,Tripura,Agartala,19.018,95.1504,National Highway,Clear,Daylight,Overspeeding,Car / Sedan,Moderate,1,2
ACC0140,2024-03-07,03:54,Nagaland,Kohima,36.776,75.1015,State Highway,Clear,Darkness,Mechanical Failure,Two-Wheeler,Moderate,0,3
ACC0141,2024-03-08,07:49,Mizoram,Aizawl,36.5035,79.3068,Rural Road,Rainy,Daylight,Overspeeding,SUV,Severe / Fatal,3,4
ACC0142,2024-03-08,17:36,Chhattisgarh,Raipur,15.752,81.0142,State Highway,Foggy,Daylight,Drunk Driving,Car / Sedan,Moderate,1,3
ACC0143,2024-03-09,06:02,Goa,Panaji,22.9197,81.223,State Highway,Clear,Daylight,Overspeeding,Truck / Commercial,Minor,0,1
ACC0144,2024-03-10,09:11,Punjab,Ludhiana,17.1856,86.1688,Rural Road,Clear,Daylight,Distracted Driving,Car / Sedan,Minor,0,1
ACC0145,2024-03-10,18:38,Nagaland,Kohima,16.7173,95.5777,City Road,Clear,Twilight,Mechanical Failure,SUV,Moderate,0,1
ACC0146,2024-03-11,06:20,Uttar Pradesh,Lucknow,9.4771,75.5597,Expressway,Rainy,Daylight,Overspeeding,Two-Wheeler,Moderate,0,4
ACC0147,2024-03-11,04:58,Rajasthan,Jaipur,26.1993,72.1628,City Road,Clear,Darkness,Drunk Driving,Car / Sedan,Moderate,0,3
ACC0148,2024-03-11,12:51,Arunachal Pradesh,Itanagar,23.0782,74.3279,City Road,Clear,Daylight,Mechanical Failure,Auto Rickshaw,Minor,0,2
ACC0149,2024-03-11,08:39,Karnataka,Bengaluru,9.9032,93.9774,State Highway,Foggy,Daylight,Drunk Driving,Truck / Commercial,Moderate,0,1
ACC0150,2024-03-11,13:14,Rajasthan,Jaipur,16.5365,87.1056,State Highway,Clear,Daylight,Drunk Driving,Two-Wheeler,Minor,0,1
ACC0151,2024-03-11,17:40,West Bengal,Kolkata,34.9214,76.8483,State Highway,Rainy,Daylight,Drunk Driving,Two-Wheeler,Minor,0,2
ACC0152,2024-03-11,06:36,Nagaland,Kohima,15.3952,91.9545,Rural Road,Clear,Daylight,Distracted Driving,Two-Wheeler,Minor,0,2
ACC0153,2024-03-12,14:06,Sikkim,Gangtok,12.6309,93.249,City Road,Clear,Daylight,Overspeeding,SUV,Minor,0,2
ACC0154,2024-03-12,12:59,Sikkim,Gangtok,22.692,92.8257,National Highway,Clear,Daylight,Weather Conditions,Truck / Commercial,Moderate,1,3
ACC0155,2024-03-12,06:31,Gujarat,Ahmedabad,37.181,94.8894,City Road,Rainy,Daylight,Overspeeding,SUV,Moderate,0,4
ACC0156,2024-03-12,14:09,Gujarat,Ahmedabad,15.468,75.8889,State Highway,Clear,Daylight,Overspeeding,Car / Sedan,Minor,0,1
ACC0157,2024-03-12,08:21,West Bengal,Kolkata,28.0264,90.2187,National Highway,Clear,Daylight,Weather Conditions,Truck / Commercial,Moderate,1,4
ACC0158,2024-03-13,12:47,Sikkim,Gangtok,30.6393,81.8254,State Highway,Clear,Daylight,Overspeeding,Car / Sedan,Minor,0,1
ACC0159,2024-03-13,04:04,Uttar Pradesh,Lucknow,15.339,92.697,State Highway,Rainy,Darkness,Overspeeding,Two-Wheeler,Moderate,0,4
ACC0160,2024-03-13,11:15,Goa,Panaji,29.6639,89.462,City Road,Cloudy,Daylight,Distracted Driving,Car / Sedan,Moderate,0,3
ACC0161,2024-03-14,08:22,Odisha,Bhubaneswar,19.1393,90.8288,National Highway,Clear,Daylight,Mechanical Failure,Auto Rickshaw,Moderate,0,4
ACC0162,2024-03-14,17:20,Meghalaya,Shillong,26.8633,87.4006,City Road,Clear,Daylight,Mechanical Failure,Truck / Commercial,Minor,0,1
ACC0163,2024-03-14,02:10,Madhya Pradesh,Bhopal,26.8991,73.7567,Expressway,Cloudy,Darkness,Fatigue,Car / Sedan,Moderate,0,2
ACC0164,2024-03-15,10:40,Sikkim,Gangtok,24.0446,84.2333,National Highway,Clear,Daylight,Mechanical Failure,SUV,Moderate,1,2
ACC0165,2024-03-15,11:56,Sikkim,Gangtok,11.0365,96.7631,Rural Road,Clear,Daylight,Overspeeding,Bus,Moderate,0,2
ACC0166,2024-03-16,16:05,Manipur,Imphal,32.7908,95.4156,State Highway,Clear,Daylight,Overspeeding,Car / Sedan,Moderate,1,3
ACC0167,2024-03-16,13:52,Kerala,Thiruvananthapuram,17.7668,69.9305,National Highway,Rainy,Daylight,Weather Conditions,Two-Wheeler,Severe / Fatal,3,4
ACC0168,2024-03-16,15:45,Chhattisgarh,Raipur,13.8463,73.3972,State Highway,Clear,Daylight,Overspeeding,Auto Rickshaw,Minor,0,1
ACC0169,2024-03-16,16:42,Goa,Panaji,9.5906,72.4543,City Road,Clear,Daylight,Distracted Driving,Truck / Commercial,Minor,0,1
ACC0170,2024-03-17,18:40,Mizoram,Aizawl,25.6541,89.3904,State Highway,Clear,Twilight,Distracted Driving,Two-Wheeler,Moderate,1,1
ACC0171,2024-03-17,08:46,Tripura,Agartala,28.1849,92.0069,National Highway,Clear,Daylight,Overspeeding,Car / Sedan,Severe / Fatal,1,1
ACC0172,2024-03-18,13:56,Arunachal Pradesh,Itanagar,8.8844,74.7851,National Highway,Clear,Daylight,Mechanical Failure,Car / Sedan,Minor,0,2
ACC0173,2024-03-18,17:21,Maharashtra,Mumbai,23.3531,83.1168,National Highway,Clear,Daylight,Drunk Driving,Two-Wheeler,Moderate,1,1
ACC0174,2024-03-18,21:28,Karnataka,Bengaluru,15.0137,92.66,City Road,Clear,Darkness,Drunk Driving,Auto Rickshaw,Minor,0,1
ACC0175,2024-03-18,18:00,Uttarakhand,Dehradun,27.239,89.5848,State Highway,Clear,Twilight,Fatigue,Car / Sedan,Minor,0,2
